old_index,beds,longitude,latitude,mean_neighbor_price
13284,5,-122.43947,37.75418,2181875
13285,4,-122.43946,37.750973,1414000
13286,2,-122.43945,37.750095,1616666.667
13287,2,-122.43945,37.750095,1616666.667
13288,3,-122.43945,37.761757,2351333.333
13289,3,-122.43945,37.761757,2351333.333
13290,4,-122.43945,37.78915,4160000
13291,4,-122.43945,37.79564,2566666.667
13292,4,-122.43945,37.79564,2566666.667
13293,4,-122.43945,37.79564,2566666.667
13294,4,-122.439445,37.750015,2320000
13295,3,-122.43944,37.73309,1208333.333
13296,3,-122.43944,37.73309,1208333.333
13297,3,-122.43944,37.73309,1208333.333
13298,4,-122.43944,37.7498,2466666.667
13299,4,-122.43944,37.7498,2466666.667
13300,4,-122.43944,37.7498,2466666.667
13302,4,-122.43943,37.742634,1716296
13303,3,-122.43943,37.742634,1797333.333
13305,5,-122.43942,37.752575,3558333.333
13306,3,-122.439415,37.712574,962000
13308,3,-122.439415,37.749577,1646000
13310,2,-122.43941,37.7156,569666.6667
13311,3,-122.43941,37.805004,2170666.667
13312,2,-122.439384,37.72633,586000
13313,3,-122.439384,37.734684,1260333.333
13314,3,-122.439384,37.734684,1260333.333
13315,3,-122.439384,37.734684,1260333.333
13316,2,-122.43938,37.72268,580833.3333
13317,2,-122.43938,37.760944,1050000
13318,2,-122.43938,37.760944,1050000
13319,3,-122.43938,37.804985,2170666.667
13320,3,-122.43937,37.717308,824000
13322,5,-122.439354,37.753403,2556875
13323,2,-122.439354,37.79005,1302333.333
13324,5,-122.439354,37.79005,5281666.667
13325,3,-122.43935,37.7242,803666.6667
13327,4,-122.43934,37.791073,3952500
13328,3,-122.43933,37.720657,791666.6667
13329,3,-122.43932,37.71839,810000
13330,3,-122.43932,37.72937,646666.6667
13331,2,-122.43932,37.758446,948333.3333
13332,3,-122.439316,37.724464,803666.6667
13333,3,-122.439316,37.75098,2403333.333
13334,3,-122.439316,37.75339,2028333.333
13335,2,-122.43931,37.727497,969666.6667
13336,2,-122.4393,37.729385,547833.3333
13337,2,-122.4393,37.73309,1090000
13338,3,-122.4393,37.7603,1414333.333
13339,3,-122.439285,37.709377,555000
13340,2,-122.43928,37.712196,623333.3333
13341,3,-122.43928,37.753407,2028333.333
13342,3,-122.43928,37.75999,2203333.333
13343,3,-122.43928,37.760086,1857666.667
13344,3,-122.43928,37.760086,1857666.667
13345,3,-122.43928,37.76014,1857666.667
13346,3,-122.43927,37.733078,1117666.667
13348,2,-122.43926,37.718365,573066.6667
13349,3,-122.43926,37.739986,1275833.333
13350,4,-122.43926,37.745342,1693333.333
13353,3,-122.439255,37.75846,1677470.333
13354,3,-122.439255,37.759876,2277216.667
13355,3,-122.43925,37.709335,555000
13356,3,-122.43925,37.72289,903666.6667
13357,5,-122.43925,37.767643,3066333.333
13358,3,-122.43924,37.759747,2138883.333
13359,3,-122.43924,37.759747,2138883.333
13360,4,-122.43924,37.781857,1740000
13361,3,-122.43923,37.709343,562666.6667
13363,2,-122.439224,37.715637,569666.6667
13364,4,-122.439224,37.80281,2577666.667
13365,2,-122.43922,37.730743,938333.3333
13366,4,-122.43922,37.767365,3020000
13367,3,-122.4392,37.735767,1208333.333
13368,3,-122.4392,37.73962,1275833.333
13369,4,-122.4392,37.76717,2936666.667
13370,3,-122.43919,37.7093,562666.6667
13371,2,-122.43918,37.726635,586000
13372,4,-122.43918,37.759224,2483333.333
13375,3,-122.43916,37.72476,886000
13376,3,-122.43916,37.733093,1297666.667
13377,3,-122.43916,37.7542,2179166.667
13378,2,-122.43916,37.7542,1381666.667
13379,3,-122.43916,37.755363,2695000
13380,4,-122.43916,37.7902,3669166.667
13381,2,-122.439156,37.71306,500000
13382,4,-122.439156,37.804886,2820000
13383,3,-122.43915,37.72305,1103666.667
13384,3,-122.43915,37.72305,1103666.667
13385,3,-122.43915,37.72305,1103666.667
13386,4,-122.43913,37.753403,2516666.667
13387,2,-122.43913,37.758602,948333.3333
13388,3,-122.439125,37.794712,3700000
13389,2,-122.43912,37.714497,636333.3333
13391,5,-122.43911,37.77483,3283333.333
13392,5,-122.4391,37.717667,675000
13393,2,-122.4391,37.730743,938333.3333
13394,4,-122.4391,37.791897,4152500
13395,3,-122.439095,37.752605,2071666.667
13396,3,-122.439095,37.75832,1677470.333
13397,3,-122.439095,37.75832,1677470.333
13398,3,-122.43909,37.70924,728666.6667
13399,5,-122.43909,37.795673,6618333.333
13400,3,-122.43909,37.802826,2536771.333
13401,3,-122.43908,37.804867,3359333.333
13402,6,-122.43907,37.714394,638666.6667
13404,3,-122.43907,37.757904,2127500
13405,5,-122.439064,37.723183,865833.3333
13406,3,-122.439064,37.72681,1030000
13408,2,-122.439064,37.755386,1283333.333
13409,4,-122.439064,37.755386,2306666.667
13410,3,-122.439064,37.757683,1949166.667
13411,3,-122.439064,37.7577,1949166.667
13412,4,-122.439064,37.77102,2275000
13413,4,-122.439064,37.77102,2275000
13414,4,-122.439064,37.79569,2750000
13415,3,-122.43906,37.721104,678333.3333
13416,3,-122.43906,37.72496,886000
13417,3,-122.43906,37.757706,1949166.667
13418,4,-122.43906,37.78965,3203333.333
13419,3,-122.43905,37.709957,568433.3333
13420,3,-122.43905,37.730743,1026666.667
13421,3,-122.43904,37.709206,757033.3333
13423,5,-122.43904,37.78825,3241666.667
13424,3,-122.43903,37.751,2068333.333
13425,3,-122.43903,37.751,2068333.333
13426,3,-122.43903,37.80486,3359333.333
13427,3,-122.439026,37.71463,593333.3333
13428,2,-122.439026,37.789516,1469000
13429,3,-122.43902,37.72506,886000
13430,3,-122.43902,37.73571,1208333.333
13431,3,-122.43902,37.75261,2071666.667
13432,3,-122.43901,37.794724,3700000
13433,4,-122.43901,37.79787,4636666.667
13434,4,-122.43901,37.8031,2577666.667
13435,3,-122.439,37.806164,2303333.333
13436,3,-122.438995,37.709164,757033.3333
13437,2,-122.438995,37.728344,618333.3333
13438,3,-122.43899,37.80109,2583333.333
13439,3,-122.43898,37.72332,1041666.667
13440,2,-122.43898,37.725124,958833.3333
13441,2,-122.43898,37.725124,958833.3333
13442,3,-122.43898,37.72694,1030000
13443,3,-122.43897,37.731533,1070333.333
13444,3,-122.43897,37.756874,2208333.333
13445,6,-122.43897,37.772335,2585000
13446,3,-122.438965,37.722176,860000
13449,2,-122.43896,37.755978,860000
13450,2,-122.43896,37.756153,960000
13451,3,-122.43896,37.75676,2208333.333
13452,4,-122.43896,37.804848,2588333.333
13454,2,-122.43895,37.7222,658500
13455,2,-122.43894,37.711407,733333.3333
13456,3,-122.43894,37.71459,593333.3333
13457,2,-122.43894,37.725166,958833.3333
13458,4,-122.43894,37.75674,2075000
